"","Region","Brain.ID","Strain","Sex","Age.Harvested","Genotype","Stain","Load.Percentage_NL","Load.Percentage_RG","Load.Difference","Region_Parent"
"60","Ammon.s.horn","1-03-14-16_03","BXD51",0,14,5,"GFAP",46.5367167219835,46.8960900767881,-0.359373354804596,"Hippocampal formation"
"61","Ammon.s.horn","1-03-28-16_10","BXD65",0,14,5,"GFAP",42.0516897966113,42.1385417707818,-0.0868519741705001,"Hippocampal formation"
"62","Ammon.s.horn","1-03-28-16_18","BXD65",0,14,5,"GFAP",42.8485155382423,43.1005813827693,-0.252065844527003,"Hippocampal formation"
"63","Ammon.s.horn","1-04-26-15_06","BXD61",0,6,5,"GFAP",26.394110903445,26.1763568469038,0.217754056541203,"Hippocampal formation"
"64","Ammon.s.horn","1-04-26-15_17","BXD66",0,6,0,"GFAP",12.9816320397472,13.0318626778655,-0.0502306381182986,"Hippocampal formation"
"65","Ammon.s.horn","1-06-24-15_06","BXD44",0,6,5,"GFAP",21.4867093140335,21.8290365035817,-0.3423271895482,"Hippocampal formation"
"66","Ammon.s.horn","1-06-24-15_08","BXD87",0,6,5,"GFAP",19.1635085039289,18.254987657243,0.908520846685899,"Hippocampal formation"
"67","Ammon.s.horn","1-06-24-15_13","BXD75",0,6,5,"GFAP",23.9322538663491,23.1930406487434,0.739213217605702,"Hippocampal formation"
"68","Ammon.s.horn","1-09-23-15_04","BXD68",0,6,0,"GFAP",10.1518392694227,11.270118656015,-1.1182793865923,"Hippocampal formation"
"69","Ammon.s.horn","1-1-11-16_12","BXD68",0,14,5,"GFAP",32.499870540513,32.4748874370121,0.0249831035009009,"Hippocampal formation"
"70","Ammon.s.horn","1-1-18-16_16","BXD87",0,14,5,"GFAP",39.645931497533,39.3739607296311,0.271970767901898,"Hippocampal formation"
"71","Ammon.s.horn","1-1-20-16_17","BXD75",0,14,5,"GFAP",39.6033074815376,38.8591699468841,0.744137534653504,"Hippocampal formation"
"72","Ammon.s.horn","1-10-14-15_07","DBA.2J",0,14,5,"GFAP",34.9821208548233,34.0454247997492,0.936696055074101,"Hippocampal formation"
"73","Ammon.s.horn","1-10-14-15_14","C57BL.6J",0,14,5,"GFAP",44.2439233054185,44.2147884809958,0.0291348244226981,"Hippocampal formation"
"74","Ammon.s.horn","1-11-09-15_16","BXD77",0,14,5,"GFAP",47.4907942882191,47.8959360649018,-0.405141776682704,"Hippocampal formation"
"75","Ammon.s.horn","1-11-09-15_18","BXD69",0,14,5,"GFAP",37.6981751061032,37.7272089334467,-0.0290338273434969,"Hippocampal formation"
"76","Ammon.s.horn","1-11-09-15_20","C57BL.6J",0,6,5,"GFAP",28.417464552959,27.7066389076263,0.710825645332697,"Hippocampal formation"
"77","Ammon.s.horn","1-11-15-15_05","BXD60",0,14,5,"GFAP",39.7707717926997,38.5966318439928,1.17413994870689,"Hippocampal formation"
"78","Ammon.s.horn","1-03-14-16_03","BXD51",0,14,5,"Thionine",21.5373738039552,21.4991258932757,0.0382479106795017,"Hippocampal formation"
"79","Ammon.s.horn","1-03-28-16_10","BXD65",0,14,5,"Thionine",21.7758182903984,21.339564176747,0.436254113651398,"Hippocampal formation"
"80","Ammon.s.horn","1-11-2014_01","DBA.2J",0,6,5,"GFAP",8.36877474581924,8.01961746082326,0.349157284995979,"Hippocampal formation"
"81","Ammon.s.horn","1-11-2015_02","DBA.2J",0,6,5,"GFAP",12.5792169757421,12.4420781320353,0.137138843706799,"Hippocampal formation"
