"","Sum Sq","Df","F value","Pr(>F)","PctExp","constrasts","Region","Stain","FDR_adjusted_pval","group1","group2"
"Age.Harvested75",109.450887120271,1,68.0721463080198,7.21460949879299e-08,59.038650465147,"Age.Harvested","Hypothalamus","GFAP",3.96803522433614e-07,6,14
"Age.Harvested76",69.7814944853926,1,0.969833845077966,0.33648624254626,3.14724070184332,"Age.Harvested","Induseum.griseum","GFAP",0.411260963112095,6,14
"Age.Harvested77",1007.52297040585,1,18.3433590396235,0.000363072416507659,37.5839953851777,"Age.Harvested","Intralaminar.nuclei.of.the.dorsal.thalamus","GFAP",0.000825164582971952,6,14
"Age.Harvested78",1934.45772855095,1,131.086435864496,3.10392735637455e-10,72.7139440423836,"Age.Harvested","Isocortex","GFAP",4.91340687601228e-09,6,14
"Age.Harvested79",1768.80568075069,1,45.4088717263463,1.48199943990594e-06,47.8968371648866,"Age.Harvested","Lateral.amygdalar.nucleus","GFAP",5.740138675692e-06,6,14
"Age.Harvested80",2467.61424148165,1,52.1635737941786,5.44881789858584e-07,56.8523210609542,"Age.Harvested","Lateral.group.of.the.dorsal.thalamus","GFAP",2.37845225731921e-06,6,14
"Age.Harvested81",1949.96215518362,1,62.7293636714498,1.36049258939771e-07,64.0612047029825,"Age.Harvested","Lateral.septal.complex","GFAP",7.05915966196924e-07,6,14
"Age.Harvested82",503.18788464723,1,27.8071643994462,3.67929003813989e-05,43.4911858020916,"Age.Harvested","Medial.group.of.the.dorsal.thalamus","GFAP",9.63623581417591e-05,6,14
"Age.Harvested83",1303.13462906328,1,140.232664496495,1.71776433171059e-10,77.5561173103994,"Age.Harvested","Mid_Hind_Medulla","GFAP",3.79279892582207e-09,6,14
"Age.Harvested84",1314.04838953718,1,193.006917836694,9.81177563101622e-12,78.9147416139854,"Age.Harvested","Midbrain","GFAP",3.37279787316183e-10,6,14
"Age.Harvested85",596.853041984199,1,22.0126884361868,0.000140070713104306,39.8689075417495,"Age.Harvested","Midbrain..behavioral.state.related","GFAP",0.000347022036970128,6,14
"Age.Harvested86",1661.77059579963,1,206.520328464454,5.2893927609439e-12,79.9511050287789,"Age.Harvested","Midbrain..motor.related","GFAP",2.91471947993603e-10,6,14
"Age.Harvested87",360.173755333708,1,29.8953938561189,2.36876774670508e-05,45.5165084748436,"Age.Harvested","Midbrain..sensory.related","GFAP",6.51411130343897e-05,6,14
"Age.Harvested88",40.9287708416818,1,3.02827624746475,0.0971908403815219,9.30379063585756,"Age.Harvested","Midline.group.of.the.dorsal.thalamus","GFAP",0.142927706443415,6,14
"Age.Harvested89",3835.67514240344,1,109.051374371401,1.51943895493073e-09,65.6674598343176,"Age.Harvested","Nucleus.accumbens","GFAP",1.54757671335537e-08,6,14
"Age.Harvested90",2222.98661171974,1,133.856294625453,2.58510669625043e-10,76.1248640422902,"Age.Harvested","Olfactory.areas","GFAP",4.74999484559374e-09,6,14
"Age.Harvested91",1425.24890301612,1,111.726916438149,1.23549385766891e-09,68.6681320975621,"Age.Harvested","Olfactory.tubercle","GFAP",1.35904324343581e-08,6,14
"Age.Harvested92",1583.41547955291,1,87.6598181837312,9.46205912911263e-09,68.1758473011089,"Age.Harvested","Pallidum","GFAP",7.17686278778301e-08,6,14
"Age.Harvested93",1285.29865555666,1,12.066855888051,0.00239642491649709,27.2683857229692,"Age.Harvested","Parasubiculum","GFAP",0.00481034198566934,6,14
"Age.Harvested94",1201.47535231004,1,17.1956759538253,0.000499136543509724,37.9009646944763,"Age.Harvested","Pons","GFAP",0.00110695604407398,6,14
"Age.Harvested95",747.552200083664,1,20.9797628643934,0.000181442878409721,28.7120034216634,"Age.Harvested","Pons..behavioral.state.related","GFAP",0.000441564527103303,6,14
